,cca_name,cca_num,percent_unemployed,LTM_income_sub_10k,LTM_income_10-15k,LTM_income_15_20k,LTM_income_20_25k,LTM_income_25_30k,LTM_income_30_35k,LTM_income_35_40k,LTM_income_40_45k,LTM_income_45_50k,LTM_income_50_60k,LTM_income_60_75k,LTM_income_75_100k,LTM_income_100_125k,LTM_income_125_150k,LTM_income_150_200k,LTM_income_200k+,below_0.50_poverty_line,0.50_1.00_poverty_line,1.00_1.25_poverty_line,1.25_1.50_poverty_line,1.50_1.85_poverty_line,1.85_2.00_poverty_line,2.00+_poverty_line,White,Black_or_African_American,American_Indian_or_Alaska_Native,Asian,Native_Hawaiian_or_Other_Pacific_Islander,some_other_race_alone,two_or_more_races
30,Lower West Side,31,11.354042645307933,11.716006021073758,6.932597424318448,7.325639739086803,8.370965044321792,7.76049506606456,6.899147014550929,4.565980933266432,5.795283492222779,5.636394045827061,7.618330824552601,9.909683893627697,8.479678876066233,3.7548084964040807,2.3582538886101356,1.8648603445392204,1.0118748954674694,10.48133937914196,18.137425880711543,9.783746076037671,8.499011742820601,9.603534472735728,5.089524473898384,38.405417974654114,53.94943330427201,3.5367625690206337,0.23830281894798022,1.7640220866027319,0.0,38.3144434757338,2.197035745422842
31,Loop,32,5.296087416284808,9.671179883945841,5.073224647692733,1.2434374136501796,1.3594915722575298,1.884498480243161,1.9342359767891684,1.4976512848853274,3.105830339872893,2.6802984249792763,5.664548217739707,6.217187068250897,13.241226858248133,10.212765957446807,8.328267477203648,12.79358938933407,15.092567007460625,9.820067093626106,5.2217817085154685,1.3147639863101894,1.128392802683745,1.0436786283080886,0.5150621802039917,80.95625360035241,65.78852939417499,12.400574128341606,0.27211291190718256,17.1969379821781,0.0358830213503977,1.1931104599007236,3.112852102147001
32,Near South Side,33,3.767123287671233,7.806870045640163,2.6343182000160144,3.411001681479702,2.8184802626311156,5.0524461526143005,2.1538954279766194,2.1538954279766194,4.3157979021538955,2.6263111538153576,6.958123148370567,8.791736728320924,9.704539995195773,11.874449515573705,5.588918248058292,9.648490671791176,14.46072543838578,7.373541732354398,2.9638304580874735,2.031440025224089,2.927796045223188,3.67551011215711,0.6441151299491014,80.38376649700464,48.51122717735815,24.50337038525066,0.12053033346725592,19.93214588634436,0.0,2.499888397839382,4.4328378197401905
33,Armour Square,34,15.413318025258324,24.28900845503459,11.606456571867794,8.013066871637202,7.148347425057648,5.649500384319754,5.1883166794773246,5.457340507302075,3.1706379707916987,2.4788624135280553,4.919292851652575,7.436587240584166,5.015372790161414,3.7086856264411994,3.61260568793236,1.518063028439662,0.7878554957724828,15.322004855062115,21.519348850492644,11.966300157075539,6.290161359417393,7.232614593745537,2.0205626160217047,35.64900756818506,12.907831798386521,9.62375954879703,0.0642535874919683,73.53466124080816,0.3355465124580567,0.8138787748982652,2.720068537159991
34,Douglas,35,15.535397768741529,25.291073738680463,8.419577404053472,6.34971970677016,7.449331608451919,2.975420439844761,3.7623975851660196,3.9672272531263473,5.724450194049159,3.072445019404916,6.737818025010781,9.217335058214749,8.085381630012936,3.2341526520051747,1.563173781802501,2.738249245364381,1.4122466580422595,23.19604982605768,16.305689597127145,5.268768937268545,4.023117495230614,3.0692402648412074,3.0692402648412074,45.0678936146336,12.020863061555872,70.772031688235,0.06888746740146633,14.382719086749004,0.019682133543276092,0.9004576096048812,1.8353589529104954
35,Oakland,36,21.489698890649763,25.277479412817762,10.025062656641603,5.477980665950591,5.012531328320802,6.122448979591836,6.4088793412101674,4.511278195488721,4.869316147511636,3.47296813462227,4.6544933762978875,7.805227354099535,4.6544933762978875,4.117436448263516,1.217329036877909,2.184031507339778,4.189044038668099,11.312217194570136,21.93789982836636,8.550475893275083,5.008581682009674,4.571696052426275,0.8113590263691683,47.80777032298331,3.6125817502335718,93.755839302398,0.0,1.6972905636873248,0.0,0.6851448146994706,0.24914356898162568
36,Fuller Park,37,31.668331668331668,27.169811320754718,13.49056603773585,10.0,7.641509433962264,6.509433962264151,3.30188679245283,2.7358490566037736,5.377358490566038,2.2641509433962264,4.245283018867925,3.018867924528302,6.60377358490566,5.660377358490567,0.9433962264150944,0.0,1.0377358490566038,11.038161674189578,22.363561756257695,6.565449322938038,7.5092326631103825,8.206811653672547,3.775133360689372,40.54164956914239,4.273504273504273,92.3076923076923,0.0,0.0,0.0,3.418803418803419,0.0
37,Grand Boulevard,38,22.618029828061175,20.48621706845692,10.660156647340047,8.513884650595056,6.031939782321229,4.455294476655477,4.984233546943343,4.099277794730953,3.1532906113315025,2.8684772657918827,7.15084935408402,6.621910283796155,7.92391414912013,5.167327840504527,1.7800834096226223,3.326212999694843,2.7769301190112907,15.82608695652174,19.656633221850615,8.066889632107022,4.499442586399108,5.426978818283166,1.819397993311037,44.70457079152732,4.096703296703296,91.12087912087912,0.34285714285714286,0.5582417582417583,0.039560439560439566,1.7098901098901098,2.131868131868132
38,Kenwood,39,14.948285247686446,15.826612903225806,6.608422939068101,5.981182795698925,6.406810035842294,5.085125448028674,6.664426523297491,4.121863799283155,3.696236559139785,2.7553763440860215,7.224462365591398,6.451612903225806,8.098118279569892,7.336469534050178,3.3490143369175627,3.763440860215054,6.630824372759856,14.39798084093386,7.921757586187117,5.598577410657947,3.384385934721505,6.470487007399759,3.2352435036998797,58.99156771639993,19.084142946423498,68.21203340719278,0.09658542128288165,8.635872961763535,0.0,1.1362990739162546,2.8350661894210556
39,Washington Park,40,31.769679887255887,28.321033210332104,8.394833948339484,10.447416974169741,6.80350553505535,6.157749077490775,4.358856088560885,5.304428044280443,3.505535055350553,3.0212177121771218,5.719557195571956,7.702952029520295,5.857933579335793,2.121771217712177,1.17619926199262,0.43819188191881914,0.6688191881918819,25.63158775305337,23.19725614856952,7.0018403881545925,6.340973732641794,7.687803245775473,0.7277898611343483,29.412748870670907,0.8856882708385068,96.52346660044698,0.8029136660872445,0.07449714427613609,0.0,0.15727174902739838,1.5561625693237315
