community_area,year,total_reqs,avg_resol_time,median_resol_time,perc_resol_less_than_1,perc_resol_1_min_1_hr,perc_resol_1_hr_12_hr,perc_resol_12_24_hr,perc_resol_1_3_day,perc_resol_3_7_day,perc_resol_7_14_day,perc_resol_14_30_day,perc_resol_1_3_month,perc_resol_3_12_month,perc_resol_1_year_plus,perc_resol_unresolved
21,2019,11810,68231.28123985304,5440.533333333334,0.10558848433530905,0.04233700254022015,0.04724809483488569,0.10067739204064352,0.1716342082980525,0.10948348856900932,0.0646909398814564,0.0821337849280271,0.127688399661304,0.10474174428450465,0.03471634208298052,0.009060118543607113
21,2020,13151,42086.126588287036,1806.3083333333334,0.19200060831875904,0.0633411907839708,0.10136111322332902,0.1021975515169949,0.12166375180594631,0.08151471370998403,0.0790814386738651,0.07885331913922895,0.08151471370998403,0.052771652345829215,0.025549387879248726,0.020150558892859858
21,2021,11564,22780.47897797575,2610.725,0.1075752334832238,0.05863023175371844,0.1100830162573504,0.11328260117606365,0.15418540297474922,0.09953303355240402,0.059667934970598406,0.09719820131442407,0.08206502940159115,0.04955032860601868,8.647526807333103e-05,0.06814251124178484
22,2019,22815,73064.84028881881,6186.433333333333,0.10453648915187377,0.0428227043611659,0.04304185842647381,0.0777120315581854,0.17269340346263423,0.11426692965154503,0.07100591715976332,0.07587113740959894,0.12373438527284682,0.12956388341003724,0.031689677843524,0.013061582292351524
22,2020,25377,42267.92584543987,2730.9083333333333,0.18303976041297237,0.05867517831106908,0.06974819718642866,0.10785356819166962,0.12936911376443236,0.09071206210347953,0.1006423139062931,0.07435867123773496,0.08113646215076645,0.05875398983331363,0.02218544351184143,0.023525239389998818
22,2021,23826,23987.34057951175,2653.483333333333,0.11965919583648116,0.06140350877192982,0.08469738940653068,0.11655334508520104,0.16121044237387727,0.08956602031394276,0.0556115168303534,0.0904893813481071,0.08994375891882816,0.050533031142449426,0.00012591286829513975,0.08020649710400403
23,2019,17623,52556.585660883466,6146.833333333333,0.1786301991715372,0.047891959371276174,0.04658684673438121,0.052431481586563015,0.12341826022811099,0.1163252567667253,0.07904443057368211,0.10344436248084889,0.12438290869885944,0.10934574136072178,0.01276740623049424,0.005731146796799637
23,2020,17258,41001.342067935795,5532.083333333333,0.1626492061652567,0.05452543747827095,0.07532738440143702,0.07127129447212886,0.10528450573647004,0.10018542125391124,0.1121798586162939,0.10412562289952486,0.11594622783636574,0.06976474678410012,0.011878549078688145,0.01686174527755244
23,2021,15884,31272.54972194305,6914.383333333333,0.06723747166960463,0.06799294887937547,0.08952404935784437,0.07882145555275749,0.11804331402669353,0.09607151850919164,0.08939813648954924,0.13529337698312768,0.12975321077814153,0.0673004281037522,0.00018886930244270964,0.06037522034751951
24,2019,27034,68468.65722912611,7150.575,0.10897388473773767,0.04753273655396908,0.040800473477842714,0.064844270178294,0.15854109639712954,0.11851742250499371,0.06613893615447215,0.09088555152770585,0.1340904046755937,0.1352001183694607,0.022712140267810904,0.011762965154990012
24,2020,30259,44780.077862668375,2834.2166666666667,0.19048878019762716,0.05264549390264053,0.07092104828315543,0.09897881621996761,0.13020919395882216,0.0911794837899468,0.09881357612611123,0.07306916950328828,0.08585875276777158,0.07026008790772993,0.017317161836147923,0.020258435506791368
24,2021,29941,19658.62736280307,2596.633333333333,0.12965498814334858,0.05814769045790054,0.08142680605190207,0.12217360809592198,0.16639390801910423,0.09775892588757891,0.06389232156574597,0.10230119234494506,0.07945626398583881,0.036371530676998096,6.679803613773756e-05,0.062355966734578
25,2019,29508,69604.00291057576,10412.65,0.13064253761691744,0.034363562423749494,0.05086756133929782,0.051138674257828386,0.11481632099769554,0.10915683882336993,0.07767385115900773,0.1005490036600244,0.15717771451809678,0.14985766571777145,0.018300122000813338,0.00545614748542768
25,2020,29545,50373.80080493571,8775.4,0.11213403283127432,0.04193602978507362,0.06799796919952615,0.061431714334066675,0.11281096632255881,0.11260788627517346,0.11250634625148079,0.11240480622778812,0.15014384836689795,0.07713657133186665,0.01722795735319005,0.021661871721103402
25,2021,27927,32083.692675873917,6214.466666666667,0.06821355677301535,0.04966519855337129,0.08532960933863286,0.07745192824148674,0.13818168797221328,0.11379668421241093,0.08776452895047804,0.10821069216170731,0.127117126794858,0.0749812009882909,7.161528270132846e-05,0.06921617073083396
26,2019,8388,36661.93727949667,3260.3333333333335,0.29804482594182163,0.05734382451120649,0.03969957081545064,0.04017644253695756,0.085240820219361,0.09573199809251312,0.07045779685264664,0.11456843109203624,0.12160228898426323,0.06747734859322842,0.007629947544110634,0.002026704816404387
26,2020,8273,36705.49349946935,7019.566666666667,0.2354647648978605,0.03747129215520367,0.04460292517829083,0.04544905113018252,0.08533784600507675,0.09863411096337484,0.10987549860993594,0.12619364196784721,0.13961078206212982,0.05584431282485193,0.008582134654901487,0.012933639550344494
26,2021,7828,28634.7333377542,5824.2,0.21269800715380685,0.0496934082779765,0.06157383750638733,0.04931016862544711,0.08392948390393459,0.0830352580480327,0.0905723045477772,0.12825753704649975,0.15240163515585078,0.0516096065406234,0.00012774655084312725,0.036791006642820645
27,2019,9883,40125.67900261132,3116.616666666667,0.3161995345542851,0.047151674592735,0.038348679550743704,0.036223818678538904,0.08499443488819185,0.09187493676009309,0.08003642618638065,0.09389861378124051,0.11676616412020642,0.08104826469695436,0.007993524233532329,0.005463927957098047
27,2020,9571,32455.0908712962,5674.633333333333,0.23602549367882145,0.03594190784662,0.05673388360672866,0.04639013687180023,0.0902726987775572,0.10646745376658656,0.11127363911816947,0.11764705882352941,0.13248354403928533,0.04879322954759168,0.0064779019956117435,0.011493051927698256
27,2021,9439,29686.34742595465,7610.875,0.12681428117385316,0.051064731433414556,0.07871596567432991,0.05901048839919483,0.09820955609704418,0.10138785888335629,0.09460747960589046,0.14154041741709927,0.14704947558004025,0.05784511071088039,0.0,0.0437546350248967
28,2019,18134,73991.44337651988,8581.033333333333,0.13598764751295908,0.07268115142825632,0.06815925885077755,0.05161574942097717,0.09959192676739825,0.08448218815484725,0.0665049079077975,0.09722069041579354,0.15765964486599757,0.13085915958972097,0.02696592037057461,0.008271754714900187
28,2020,15231,38478.52795939743,3173.6583333333338,0.178780119493139,0.08738756483487624,0.07261506138795877,0.07215547239183245,0.10813472523143589,0.09421574420589587,0.09198345479613945,0.09198345479613945,0.11102357034994419,0.06224148118967895,0.011555380474033221,0.01792397084892653
28,2021,16834,21424.732374455063,2624.5916666666667,0.12225258405607699,0.07152191992396341,0.10229297849590115,0.10698586194606154,0.13722228822620886,0.10668884400617798,0.07300700962338125,0.09605560175834621,0.08964001425686112,0.03896875371272425,0.00011880717595342758,0.05524533681834383
29,2019,17056,39662.6136798018,1971.0666666666666,0.3701336772983114,0.03459193245778611,0.03265712945590994,0.037054409005628515,0.06859756097560976,0.087828330206379,0.07416744840525329,0.08630393996247655,0.11262898686679175,0.08155487804878049,0.008384146341463415,0.006097560975609756
29,2020,15295,32593.70958526362,4290.6833333333325,0.2791762013729977,0.0455050670153645,0.04642039882314482,0.04014383785550834,0.08349133703824779,0.09506374632232756,0.10833605753514221,0.11395881006864989,0.12173913043478261,0.0471395881006865,0.006930369401765283,0.012095456031382805
